"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro","Basin","Owner","Maintenance","Operator","Map","Collect","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"CAN","CANTUA CREEK NEAR CANTUA CREEK","680","36.405","-120.433",,"7","9970","999","999","58","30","0","FRESNO","CANTUA CR","US Geological Survey","TULARE LAKE","1,14"
"CAP","CAPLES LAKE","8000","38.7107925415039","-120.041580200195","KIRKWOOD","5","7701","50","702","50","999","0","ALPINE","AMERICAN R","US Bureau of Reclamation","SACRAMENTO RIVER","2,3,4,9,10,12,14,16,17,18,26,30,31,32,45,77,78,82,116"
"CAR","CARPENTER RIDGE","4812","40.069","-121.582","PARADISE","5","7201","999","999","3","9","0","BUTTE","BUTTE CR","CA Dept of Forestry and Fire Protection","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"CAS","CASTAIC","1535","34.5152","-118.6101","CASTAIC","4","4601","999","999","715","46","0","LOS ANGELES","SANTA CLARA R","CA Dept of Water Resources/O&M Southern Field Division","SOUTH COAST","6,7,15,22,23"
"CAU","CAHUILLA","278","32.974","-115.174","BRAWLEY","10","11801","999","999","59","61","0","IMPERIAL","COLORADO R","US Bureau of Land Management","COLORADO RIVER","2,4,9,10,12,13,14,30,31,32,45,77,78"
"CBB","COBB","2520","99.999","-999.999",,"5","8001","999","999","999","999","0","LAKE","PUTAH CR",".None Specified","SACRAMENTO RIVER","2"
"CBC","COYOTE CK BLW COYOTE RES NR SAN MARTIN","680","31.123","-121.55167","SAN MARTIN","2","2201","999","999","58","0","2","SANTA CLARA","COYOTE WASH","US Geological Survey","SAN FRANCISCO BAY","1,14"
"CBD","CHERRY CK BL DION R PH NR MATHER","2150","37.8902015686035","-119.969902038574","MATHER","6","8601","999","999","58","25","0","TUOLUMNE","TUOLUMNE R","US Geological Survey","SAN JOAQUIN RIVER","1,14,20,25"
"CBM","COLBY MEADOW","9700","37.178","-118.72",,"6","9001","999","999","68","26","0","FRESNO","SAN JOAQUIN R","Southern California Edison Company, Big Creek","SAN JOAQUIN RIVER","3,18,82"
"CBO","CARIBOU PH","2986","40.085","-121.15","CHESTER","5","7301","999","999","740","9","0","PLUMAS","FEATHER R","CA Dept Water Resources and Pacific Gas and Electric","SACRAMENTO RIVER","2,4,12,14,16,45"
"CBP","CHOWCHILLA BYPASS","170","36.774","-120.285","MENDOTA","6","9001","999","999","599","30","0","MADERA","SAN JOAQUIN R","San Luis Delta-Mendota Water Authority","SAN JOAQUIN RIVER","1,14,20,41"
"CBR","AMERICAN RIVER AT CHILI BAR","931","38.772","-120.816","PLACERVILLE","5","7701","60","63","63","18","0","EL DORADO","AMERICAN R","Pacific Gas and Electric Company, Auburn","SACRAMENTO RIVER","1,6,14,20"
"CBT","CRABTREE MEADOW","10700","36.5636825561523","-118.347946166992","LONE PINE","7","9701","702","702","702","999","0","TULARE","KERN R","CA Dept of Water Resources/DFM-Hydro-SMN","TULARE LAKE","2,3,4,12,14,18,30,31,32,45,82,96,97,98,99,103,104,105,115"
"CBU","CLAVEY R NR BUCK MEADOWS","2374","37.9006","-120.0708","GROVELAND","6","8601","999","999","275","24","0","TUOLUMNE","TUOLUMNE R","City and County of San Francisco","SAN JOAQUIN RIVER","1,14,20"
"CBV","CHERRY CK BL VALLEY DAM NR HETCH HETCHY","4337","37.967700958252","-119.917404174805","MATHER","6","8601","999","999","58","25","0","TUOLUMNE","TUOLUMNE R","US Geological Survey","SAN JOAQUIN RIVER","1,14,20,25"
"CC5","CASTLE CREEK 5","7400","39.34947","-120.35392","SODA SPRINGS","5","7401","999","999","43","0","0","NEVADA","YUBA R","Central Sierra Snow Lab","SACRAMENTO RIVER","3,18,82"
"CCC","CRESCENT CITY 1 N","40","99.999","-999.999","CRESCENT CITY","1","101","999","999","999","999","0","DEL NORTE","SMITH R",".None Specified","NORTH COAST","2"
"CCE","COW CREEK (USBR)","2840","40.603","-121.853","WHITMORE","5","7001","999","999","50","9","0","SHASTA","SACTO VLY NE","US Bureau of Reclamation","SACRAMENTO RIVER","2,4,14,16,30,31,32,45"
"CCF","CORRALITOS CREEK AT FREEDOM","100","36.9392","-121.7692","CORRALITOS","3","3201","999","999","144","29","0","SANTA CRUZ","PAJARO R","Santa Cruz County","CENTRAL COAST","16"
"CCH","CACHUMA LAKE","781","34.583","-119.98","SANTA YNEZ","3","4001","999","50","50","45","0","SANTA BARBARA","SANTA YNEZ R","US Bureau of Reclamation","CENTRAL COAST","2,6,14,15,22,23,45,71,76"
"CCI","CALLEGUAS CREEK - CSU CHANNEL ISLANDS","70","34.18","-119.04","CAMARILLO","4","4601","999","999","58","45","2","VENTURA","SANTA CLARA R","US Geological Survey","SOUTH COAST","1,14,16,20,169"
"CCK","CANTUA CREEK NEAR MT WHITNEY AVENUE","330","36.43","-120.295","CANTUA CREEK","6","9201","999","999","706","30","0","FRESNO","SAN JOAQUIN VLY WEST","CA Dept of Water Resources/South Central Region Office","SAN JOAQUIN RIVER","1,14"
"CCL","CACHE CK NR LOWER LAKE","1320","38.92417","-122.56611","LOWER LAKE","5","7901","999","999","58","15","2","LAKE","CACHE CR","US Geological Survey","SACRAMENTO RIVER","1,14,16,20"
"CCN","CAMINO CONDUIT","9999","38.714","-120.563","POLLACK PINES","5","7701","999","999","50","17","0","EL DORADO","AMERICAN R","US Bureau of Reclamation","SACRAMENTO RIVER","69"
"CCO","CISCO","5900","39.303","-120.543","TRUCKEE","5","7401","999","999","63","14","0","PLACER","YUBA R","Pacific Gas and Electric Company, Auburn","SACRAMENTO RIVER","3,18,82"
"CCP","CONCORD PAVILION","558","37.985","-121.9377","CONCORD","2","2801","999","999","107","23","0","CONTRA COSTA","SF BAY","Contra Costa County","SAN FRANCISCO BAY","16"
"CCR","SACRAMENTO RIVER ABOVE CLEAR CK","450","40.538","-122.356","REDDING","5","6501","999","999","50","8","99","SHASTA","SACRAMENTO R","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,27,61"
"CCS","CACHE SLOUGH","0","38.2918","-121.742","RIO VISTA","5","8101","999","999","50","16","0","SOLANO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100"
"CCT","CALAVERAS COTTAGE","822","37.488321","-121.820785","MILPITAS","2","2101","999","999","182","23","2","SANTA CLARA","ALAMEDA CR","San Francisco PUC","SAN FRANCISCO BAY","14,16,45"
"CCW","CCWD MIDDLE RIVER PP ON VICTORIA CANAL","0","37.86654","-121.54379","DISCOVERY BAY","6","8101","999","999","97","23","0","CONTRA COSTA","DELTA","Contra Costa Water District","SAN JOAQUIN RIVER","70,148"
"CCY","CACHE CREEK AT YOLO","86","38.726634979248","-121.807151794434","YOLO","5","7901","999","999","58","999","0","YOLO","CACHE CR","US Geological Survey","SACRAMENTO RIVER","1,14,20,41,169"
"CDL","RUSSIAN RIVER AT CLOVERDALE LOCAL FLOW","107","38.879349","-123.053612","CLOVERDALE","1","1601","999","999","40","0","13","MENDOCINO","RUSSIAN R","National Weather Service","NORTH COAST","142"
"CDM","EF RUSSIAN R BLW COYOTE DAM","614","39.1975","-123.1864","UKIAH","1","1601","999","999","56","11","0","MENDOCINO","RUSSIAN R","US Army Corps of Engineers","NORTH COAST","1,14,20,25"
"CDP","CEDAR PASS","7100","41.583","-120.303","CEDARVILLE","5","6701","999","999","54","5","0","MODOC","PIT R","Natural Resources Conservation Service","SACRAMENTO RIVER","2,3,4,18,30,31,32,82"
"CDR","COLUSA DRAIN NR HWY 20","60","39.1955108642578","-122.060516357422","COLUSA","5","6501","999","999","707","12","0","COLUSA","SACRAMENTO R","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14,20"
"CDS","CEDAR SPRINGS","6500","34.355","-117.883","CEDAR SPRINGS","9","11501","999","999","999","47","0","LOS ANGELES","MOJAVE DESERT",".None Specified","SOUTH LAHONTAN","3,18,82"
"CDV","CEDARVILLE","4670","41.533","-120.167","CEDARVILLE","8","10201","999","999","68","5","0","MODOC","SURPRISE VALLEY","Southern California Edison Company, Big Creek","NORTH LAHONTAN","2"
"CDW","LAKE MENDOCINO WEATHER","670","39.2031","-123.1853","UKIAH","1","1601","999","999","56","11","0","MENDOCINO","RUSSIAN R","US Army Corps of Engineers","NORTH COAST","2,4,9,10,12,14,17,26,29,47,175"
"CEC","CRESCENT CITY MC NAMARA FIELD","56","41.78","-124.24","CRESCENT CITY","1","101","999","999","40","0","13","DEL NORTE","SMITH R","National Weather Service","NORTH COAST","2,203"
"CEI","CHERRY CREEK NEAR EARLY INTAKE","2272","37.8943672180176","-119.962684631348","MATHER","6","8601","999","999","58","25","0","TUOLUMNE","TUOLUMNE R","US Geological Survey","SAN JOAQUIN RIVER","1,14,20,25"
"CEK","CLEAR CREEK RAWS","3000","34.271","-118.153","LA CANADA FLINTRIDGE","4","4801","999","999","44","46","0","LOS ANGELES","LOS ANGELES R","US Forest Service","SOUTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"CEM","E FK CARSON R NR MARKLEEVILLE","5400","38.7147","-119.7647","MARKLEEVILLE","8","10701","999","999","58","19","2","ALPINE","CARSON R","US Geological Survey","NORTH LAHONTAN","1,14,169"
"CES","CHICO UNIV FARM","185","39.7","-121.817",,"5","7001","999","999","40","13","0","BUTTE","SACTO VLY NE","National Weather Service","SACRAMENTO RIVER","2"
"CEY","CLEARLAKE CITY","1340","38.9617","-122.6492","CLEARLAKE","5","7901","999","999","58","15","13","LAKE","CACHE CR","US Geological Survey","SACRAMENTO RIVER","16"
"CF1","CFA RAWS NR IONE","660","38.38","-120.9303","IONE","6","9001","999","999","3","17","2","AMADOR","SAN JOAQUIN R","CA Dept of Forestry and Fire Protection","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,17,26,77,78"
"CFF","COFFEE CREEK RANGER STATION","2503","41.0894393920898","-122.708610534668","CARRVILLE","1","901","702","702","702","999","2","TRINITY","TRINITY R","CA Dept of Water Resources/DFM-Hydro-SMN","NORTH COAST","2,4,9,10,11,12,13,14,16,17,26,31,32,45,77,78"
"CFH","CRAFTON HILLS PUMPING STATION","2900","34.06721","-117.04943","YUCAIPA","4","5701","703","703","703","0","99","SAN BERNARDINO","SANTA ANA R","CA Dept of Water Resources/Operations and Maintenance","SOUTH COAST","15"
"CFL","CRANE FLAT LOOKOUT","5957","37.75","-119.8","CRANE FLAT","6","8701","999","999","55","25","0","MARIPOSA","MERCED R","National Park Service","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,18,26,30,31,32,77,78"
"CFM","CLARK FORK MEADOW","8900","38.362","-119.68","DARDANELLE","6","8501","999","999","67","19","0","ALPINE","STANISLAUS R","Pacific Gas and Electric Company, Angels Camp","SAN JOAQUIN RIVER","3,18,82"
"CFR","COFFEE RIDGE","3040","41.083","-122.717","CARRVILLE","1","901","999","999","50","3","0","TRINITY","TRINITY R","US Bureau of Reclamation","NORTH COAST","2,4,14,16,45"
"CFW","BEAR RIVER AT CAMP FAR WEST DAM","260","39.0498580932617","-121.315940856934","MARYSVILLE","5","7501","702","702","702","999","0","YUBA","BEAR R","CA Dept of Water Resources/DFM-Hydro-SMN","SACRAMENTO RIVER","1,2,4,6,7,14,15,16,20,30,31,32,45"
"CGR","CEDAR GROVE","4720","36.788","-118.659","CEDAR GROVE","6","9401","999","999","55","32","0","TULARE","KINGS R","National Park Service","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"CGS","COGSWELL RESERVOIR","2405","34.245","-117.965","MONROVIA","4","4901","999","999","170","47","0","LOS ANGELES","SAN GABRIEL R","Los Angeles County","SOUTH COAST","2,15"
"CGT","COLGATE PH","600","39.3308","-121.19","DOBBINS","5","7401","83","702","702","13","0","YUBA","YUBA R","CA Dept of Water Resources/DFM-Hydro-SMN","SACRAMENTO RIVER","2,4,14,16,30,31,32,45"
"CGV","COSGROVE CK NR VALLEY SPRINGS","547","38.1361","-120.8472","VALLEY SPRINGS","6","8401","999","999","56","18","0","CALAVERAS","CALAVERAS R","US Army Corps of Engineers","SAN JOAQUIN RIVER","1,14"
"CHA","CALLAHAN (USFS)","3136","41.333","-122.833","YREKA","1","601","999","999","44","3","0","SISKIYOU","SCOTT R","US Forest Service","NORTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"CHB","CHABOT","250","37.73","-122.122","SAN  LEANDRO","2","2101","999","999","86","22","0","ALAMEDA","ALAMEDA CR","East Bay Municipal Utility District","SAN FRANCISCO BAY","15"
"CHC","CHEROKEE CANAL NR RICHVALE","106","39.4647026062012","-121.744735717773","RICHVALE","5","6901","999","999","707","13","0","BUTTE","COTTONWOOD CR","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14,20"
"CHE","CHEESEBORO","1650","34.1847","-118.7172","AGOURA HILLS","4","4301","999","999","55","46","0","VENTURA","VENTURA LA COASTAL","National Park Service","SOUTH COAST","2,4,9,10,11,12,13,14,17,30,31,32,45,77,78"
"CHF","CHESTER FLAT","4600","40.283","-121.25",,"5","7301","999","999","20","9","0","PLUMAS","FEATHER R","Eagle Lake Ranger District","SACRAMENTO RIVER","3,18,82"
"CHG","CHICAGO","210","38.652","-121.254","ORANGEVALE","5","7701","999","999","134","17","0","SACRAMENTO","AMERICAN R","Sacramento County","SACRAMENTO RIVER","16,45"
"CHI","CHICO","230","39.712","-121.783","DURHAM","5","7201","999","999","3","13","0","BUTTE","BUTTE CR","CA Dept of Forestry and Fire Protection","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"CHK","CHALK BLUFF","4850","39.305","-120.81",,"5","7401","999","999","81","14","0","NEVADA","YUBA R","Nevada Irrigation District","SACRAMENTO RIVER","3,18,82"
"CHL","CHALLENGE RANGER STATION","3200","39.483","-121.217","CHALLENGE","5","7401","999","999","44","13","0","YUBA","YUBA R","US Forest Service","SACRAMENTO RIVER","2,45"
"CHM","CHILKOOT MEADOW","7150","37.408390045166","-119.4921875","BASS LAKE","6","9001","50","702","50","999","0","MADERA","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","2,3,4,14,16,18,30,31,32,45,82"
"CHO","CHIQUITO CREEK CANAL","7470","37.40855","-119.47937","BASS LAKE","6","9001","999","999","60","0","2","MADERA","SAN JOAQUIN R","Pacific Gas & Electric","SAN JOAQUIN RIVER","1,14"
"CHP","CHAGOOPA PLATEAU","10300","36.497142791748","-118.446716308594","HAMMOND","7","9701","702","702","702","999","0","TULARE","KERN R","CA Dept of Water Resources/DFM-Hydro-SMN","TULARE LAKE","3,4,14,18,30,31,32,82"
"CHQ","CHIQUITO CREEK","6800","37.498","-119.408",,"6","9001","999","999","35","25","0","MADERA","SAN JOAQUIN R","Bass Lake Ranger District","SAN JOAQUIN RIVER","3,18,82"
"CHR","CHEROKEE CANAL","360","39.652","-121.643","CHICO","5","6501","999","999","1","13","0","BUTTE","SACRAMENTO R","CA Dept of Water Resources","SACRAMENTO RIVER","4,14,16"
"CHS","CHESTER","4525","40.283","-121.233","CHESTER","5","7301","999","999","44","9","0","PLUMAS","FEATHER R","US Forest Service","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"CHT","PAJARO RIVER AT CHITTENDEN","82","36.9002304077148","-121.597724914551","CHITTENDEN","3","3201","700","700","5","29","0","SANTA CRUZ","PAJARO R","USGS/DWR","CENTRAL COAST","1,2,14,16,20,41,45,169"
"CHU","CHURCH MEADOWS","6700","39.681233","-120.622767",,"5","7301","999","999","2","0","0","SIERRA","FEATHER R","CA Dept of Water Resources/Beckwourth","SACRAMENTO RIVER","3,18,82"
"CHV","CHERRY VALLEY DAM","4765","37.967","-119.917","BUCK MEADOWS","6","8601","999","999","94","25","0","TUOLUMNE","TUOLUMNE R","Hetch Hetchy Water and Power","SAN JOAQUIN RIVER","6,15,22,23,45,74,76"
"CHW","CHEWS RIDGE","5040","36.312","-121.57","JAMESBURG","3","3601","999","999","127","29","0","MONTEREY","CARMEL R","Monterey County","CENTRAL COAST","16"
"CHY","CHERRY LAKE","4715","37.976","-119.913","HETCH HETCHY","6","8601","999","999","94","25","0","TUOLUMNE","TUOLUMNE R","Hetch Hetchy Water and Power","SAN JOAQUIN RIVER","6,15,66"
"CIO","CHILAO","5450","34.333","-118.033","LA CANADA FLINTRIDGE","4","4901","999","999","44","46","0","LOS ANGELES","SAN GABRIEL R","US Forest Service","SOUTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"CIS","OLD RIVER AT CONEY ISLAND","5","37.8458938598633","-121.537971496582","TRACY","6","9001","999","999","704","999","0","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,14,141"
"CIT","CITRUS HEIGHTS","138","99.999","-999.999","SACRAMENTO","5","7701","999","999","999","999","0","none specified","AMERICAN R",".None Specified","SACRAMENTO RIVER","2"
"CJC","CANYON CK AT JUNCTION CITY","1510","40.7403","-123.0492","JUNCTION CITY","1","901","999","999","58","7","0","TRINITY","TRINITY R","US Geological Survey","NORTH COAST","1,20,25"
"CKC","CITY CREEK RANGER STATION","2610","34.186","-117.181","SAN BERNARDINO","4","5701","999","136","136","47","0","SAN BERNARDINO","SANTA ANA R","San Bernardino County","SOUTH COAST","2,16,45"
"CKL","CLEAR LAKE AT LAKEPORT","1318","39.039","-122.912","LAKEPORT","5","7901","999","999","58","12","0","LAKE","CACHE CR","US Geological Survey","SACRAMENTO RIVER","1,14,15,169"
"CKR","COOK RANCH","325","38.016","-120.946","MILTON","6","8401","999","999","139","18","0","SAN JOAQUIN","CALAVERAS R","San Joaquin County","SAN JOAQUIN RIVER","45"
"CKS","CHALKS","1585","37.161","-122.292","BIG BASIN","3","2950","999","999","3","22","0","SANTA CRUZ","SANTA CRUZ CO COAST","CA Dept of Forestry and Fire Protection","CENTRAL COAST","2,4,9,10,11,12,13,14"
"CKT","CHILKOOT LAKE","7450","37.408","-119.48",,"6","9001","999","999","35","25","0","MADERA","SAN JOAQUIN R","Bass Lake Ranger District","SAN JOAQUIN RIVER","3,18,82"
"CLA","CLEAR LK - CACHE CREEK","1336","38.957","-122.642","CLEAR LAKE","5","7901","999","999","216","16","0","LAKE","CACHE CR","Yolo County Flood Control and Water Consv Dist","SACRAMENTO RIVER","15"
"CLB","COLLINS BALDY","5493","41.775","-122.9503","WALKER","1","201","999","999","44","3","0","SISKIYOU","KLAMATH R","US Forest Service","NORTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"CLC","CLIFTON COURT","3","37.8298","-121.5574","BYRON","2","8101","999","999","703","23","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","10,25,27,62,76,100,114,134,146,273"
"CLD","COLORADO R-LEES FERY","9999","36.865","-111.588","PAGE","10","11801","999","999","999","0","0","State of Arizona","COLORADO R",".None Specified","COLORADO RIVER","65,66"
"CLE","TRINITY LAKE","2370","40.801","-122.762","LEWISTON","1","901","999","999","50","8","0","TRINITY","TRINITY R","US Bureau of Reclamation","NORTH COAST","6,8,15,22,23,45,48,68,71,74,76,85"
"CLF","COLFAX","2400","39.122","-120.951","COLFAX","5","7701","999","999","40","14","0","PLACER","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2,45"
"CLG","COLGATE PH","600","39.333","-121.183","GRASS VALLEY","5","7401","999","999","60","13","0","YUBA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"CLH","CLEAR LK HIGHLANDS (OBS)","1340","38.9","-122.6","CLEAR LAKE","5","7101","999","999","40","16","0","LAKE","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2,45"
"CLI","CLIFF CAMP","6300","36.987","-118.975","FRESNO","7","9401","999","999","999","32","0","FRESNO","KINGS R",".None Specified","TULARE LAKE","3,18,82"
"CLK","CLEAR LK - KLAMATH R","4552","41.927","-121.075","TULELAKE","1","201","999","999","50","4","0","MODOC","KLAMATH R","US Bureau of Reclamation","NORTH COAST","7,15"
"CLL","COLLINSVILLE","0","38.073981","-121.850123","COLLINSVILLE","5","8101","999","999","50","16","0","SOLANO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"CLM","CLOVER MEADOW","7000","37.528","-119.275",,"6","9001","999","999","35","25","0","MADERA","SAN JOAQUIN R","Bass Lake Ranger District","SAN JOAQUIN RIVER","3,18,82"
"CLN","COALINGA","670","36.136","-120.361","COALINGA","7","9001","999","999","40","30","0","FRESNO","SAN JOAQUIN R","National Weather Service","TULARE LAKE","2"
"CLO","COVELO","1487","39.8261108398438","-123.084716796875","COVELO","1","1201","702","702","702","999","0","MENDOCINO","EEL R","CA Dept of Water Resources/DFM-Hydro-SMN","NORTH COAST","2,4,14,16,45"
"CLP","STANISLAUS R AT COLLIERVILLE POWERHOUSE","1190","38.143","-120.378","ANGELS CAMP","6","8501","999","999","801","18","0","TUOLUMNE","STANISLAUS R","CA Dept of Fish and Wildlife","SAN JOAQUIN RIVER","25"
"CLR","CLEAR CREEK","3300","40.639","-122.667","WHISKEYTOWN","5","7001","999","999","50","8","0","SHASTA","SACTO VLY NE","US Bureau of Reclamation","SACRAMENTO RIVER","2,4,14,16,30,31,32,45"
"CLS","COLLINS LAKE","1270","39.3376","-121.3271","MARYSVILLE","5","7401","999","999","260","13","35","YUBA","YUBA R","Brown's Valley Irrigation District","SACRAMENTO RIVER","4,14,16"
"CLT","CHARLOTTE RIDGE","10700","36.77","-118.415",,"7","9401","999","999","1","32","0","FRESNO","KINGS R","CA Dept of Water Resources","TULARE LAKE","3,18,82"
"CLV","RUSSIAN RIVER AT CLOVERDALE","107","38.8793487548828","-123.053611755371","CLOVERDALE","1","1601","58","702","702","15","0","MENDOCINO","RUSSIAN R","CA Dept of Water Resources/DFM-Hydro-SMN","NORTH COAST","1,2,14,16,20,41,45,61,146"
"CLW","SACTO R AT COLUSA WEIR (CREST 60.9')","70","39.2368202209473","-121.994758605957","COLUSA","5","6501","999","999","707","13","0","COLUSA","SACRAMENTO R","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14,20,169"
"CMA","CASE MOUNTAIN","6450","36.411","-118.809","VISALIA","7","9501","59","59","59","32","0","TULARE","KAWEAH R","US Bureau of Land Management","TULARE LAKE","2,4,9,10,11,12,13,14,26,77,78"
"CMB","COMBIE LAKE","1610","39.017","-121.05","GRASS VALLEY","5","7501","999","999","129","13","0","NEVADA","BEAR R","Nevada County","SACRAMENTO RIVER","15"
"CMC","CHAPMAN CREEK","5850","39.633","-120.533",,"5","7401","999","999","38","14","0","SIERRA","YUBA R","Yuba River Ranger District","SACRAMENTO RIVER","3,18,82"
"CMF","COSUMNES R MID FORK NR SOMERSET","1648","38.6245079040527","-120.702453613281","SOMERSET","6","8201","999","999","704","999","0","EL DORADO","COSUMNES R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,14,20"
"CMG","CUMMINGS PEAK","895","38.028","-122.197","CROCKETT","2","2001","999","999","107","16","0","CONTRA COSTA","EAST BAY","Contra Costa County","SAN FRANCISCO BAY","16"
"CMH","COLEMAN POWERHOUSE","482","40.40472222","-122.1216667","COTTONWOOD","5","6951","999","999","60","0","20","SHASTA","BATTLE CREEK","Pacific Gas & Electric","SACRAMENTO RIVER","48,272"
"CMI","CAMINO","3000","38.833","-120.533","POLLACK PINES","5","7701","999","999","85","18","0","EL DORADO","AMERICAN R","Sacramento Municipal Utility District","SACRAMENTO RIVER","6,15,48"
"CMK","N FK CALAVERAS R NR MOKELUMNE HILL","920","38.2819","-120.6701","MOKELUMNE HILL","6","8401","999","999","58","17","2","CALAVERAS","CALAVERAS R","US Geological Survey","SAN JOAQUIN RIVER","1,14,16,45"
"CML","CARMEL RIVER NEAR CARMEL","45","36.539","-121.874","CARMEL","3","3601","999","999","58","29","0","MONTEREY","CARMEL R","US Geological Survey","CENTRAL COAST","1,14,25"
"CMM","CAMPITO MOUNTAIN","10200","37.497","-118.173","BISHOP","9","11001","999","999","999","26","0","INYO","OWENS R",".None Specified","SOUTH LAHONTAN","3,18,82"
"CMN","CAMANCHE RESERVOIR","236","38.225","-121.021","CLEMENTS","6","8301","999","999","86","17","0","SAN JOAQUIN","MOKELUMNE R","East Bay Municipal Utility District","SAN JOAQUIN RIVER","6,7,15,22,23,76,94,200"
"CMO","CLAREMONT","1645","34.137","-117.707","CLAREMONT","4","4801","999","999","172","47","0","LOS ANGELES","LOS ANGELES R","Los Angeles County Fire Dept","SOUTH COAST","2,4,9,10,11,12,13,14,17,26,30,31,32,77,78"
"CMP","TARGET RANGE PENDELTON","918","33.372","-117.359","FALLBROOK","4","5801","999","999","401","54","0","SAN DIEGO","SANTA MARGARITA R","US Marine Corps","SOUTH COAST","2,4,9,10,11,12,13,14,17,30,31,32,77,78"
"CMR","CARMEL RIVER AT HWY 1 BRIDGE","10","36.536","-121.911","CARMEL","3","3601","999","999","127","29","0","MONTEREY","CARMEL R","Monterey County","CENTRAL COAST","1"
"CMS","CAMANCHE SOUTH STATION","330","99.999","-999.999",,"6","8301","999","999","999","999","0","none specified","MOKELUMNE R",".None Specified","SAN JOAQUIN RIVER","2"
"CMT","CASTLE MOUNTAIN","4000","35.942","-120.328","PARKFIELD","3","3301","999","999","703","37","0","FRESNO","SALINAS R","CA Dept of Water Resources/Operations and Maintenance","CENTRAL COAST","14,16"
"CMV","CAMPTONVILLE RS (USFS)","2503","39.455","-121.045","CAMPTONVILLE","5","7401","999","999","44","13","0","YUBA","YUBA R","US Forest Service","SACRAMENTO RIVER","2,45"
"CMW","CAMP MATHER WEATHER","4810","37.878168","-119.859412","HETCH HEYCHY","6","8601","999","999","74","24","2","TUOLUMNE","TUOLUMNE R","City of San Francisco","SAN JOAQUIN RIVER","2,4,10,12,14,17,18,45,77,103,122,134"
"CNA","CATALINA","1407","33.35078","-118.35225","AVALON","4","99999","999","999","172","52","2","LOS ANGELES","NONE SPECIFIED","Los Angeles County Fire Dept","SOUTH COAST","2,4,9,10,11,12,13,14,26,77,78"
"CNF","COSUMNES R N FORK NR EL DORADO","840","38.5890312194824","-120.84449005127","EL DORADO","6","8201","999","999","704","999","0","EL DORADO","COSUMNES R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,14,16,20"
"CNH","BATTLE CK DVRSN AT COLEMAN FISH HATCHERY","446","40.40036","-122.14027","COTTONWOOD","5","6951","704","704","704","0","99","TEHAMA","BATTLE CREEK","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","14,20,110"
"CNL","CHINA LAKE ARMITAGE","2220","35.683","-117.683","CHINA LAKE","9","11150","999","999","40","40","0","KERN","CHINA LAKE","National Weather Service","SOUTH LAHONTAN","2"
"CNM","CANNELL MEADOW","7500","35.833","-119.372","KERNVILLE","7","9701","999","999","999","39","0","TULARE","KERN R",".None Specified","TULARE LAKE","3,18,82"
"CNP","CINCO POSES","7500","33.83","-116.753","IDYLLWILD","4","5601","999","999","999","55","0","RIVERSIDE","SAN JACINTO R",".None Specified","SOUTH COAST","3,18,82"
"CNR","CHEROKEE CANAL ABV NELSON RD","170","39.5975389","-121.70236","RICHVALE","5","6901","999","999","707","0","2","BUTTE","COTTONWOOD CR","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14"
"CNS","CRANSTON","1950","33.74","-116.841","HEMET","4","5601","999","999","44","55","0","RIVERSIDE","SAN JACINTO R","US Forest Service","SOUTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
